company,model,year,condition,mileage(km),fuel,volume(cm3),color,transmission,drive_unit,vehicle_size_class,priceUSD
renault,laguna,2000,with mileage,230000.0,petrol,1800.0,blue,mechanics,front-wheel drive,D,2300
chrysler,pacifica,2005,with mileage,310000.0,petrol,3500.0,black,auto,front-wheel drive,,6300
mercedes-benz,c-klass,2010,with mileage,115000.0,petrol,1800.0,gray,auto,rear drive,D,11200
hyundai,accent,2017,with mileage,45500.0,petrol,1400.0,gray,auto,front-wheel drive,B,10886
renault,kadjar,2016,with mileage,139000.0,diesel,1500.0,red,auto,front-wheel drive,J,15300
ford,escort,1992,with mileage,325000.0,petrol,1360.0,gray,mechanics,front-wheel drive,C,575
chevrolet,volt,2014,with mileage,65000.0,petrol,1400.0,brown,auto,front-wheel drive,,15200
mercedes-benz,e-klass,1990,with mileage,250000.0,diesel,2000.0,black,mechanics,rear drive,E,1400
chevrolet,aveo,2010,with mileage,107650.0,petrol,1200.0,gray,mechanics,front-wheel drive,B,4750
peugeot,308,2008,with mileage,170000.0,petrol,1600.0,brown,mechanics,front-wheel drive,C,4800
volkswagen,golf,1989,with mileage,372109.0,petrol,1300.0,red,mechanics,front-wheel drive,C,1000
peugeot,5008,2016,with mileage,121000.0,diesel,1600.0,gray,mechanics,front-wheel drive,C,13900
audi,a6,2000,with mileage,192000.0,petrol,1800.0,blue,mechanics,front-wheel drive,E,5550
peugeot,3008,2010,with mileage,155000.0,petrol,1600.0,gray,mechanics,front-wheel drive,C,7000
peugeot,406,1997,with mileage,214000.0,petrol,1800.0,blue,mechanics,front-wheel drive,D,1500
mazda,626,1995,with mileage,388000.0,petrol,1800.0,burgundy,mechanics,front-wheel drive,C,1000
mercedes-benz,m-klass,2008,with mileage,208000.0,petrol,3500.0,other,auto,all-wheel drive,J,12500
audi,a4,2005,with mileage,326000.0,diesel,1900.0,gray,mechanics,front-wheel drive,D,8500
renault,scenic,2000,with mileage,330000.0,diesel,1900.0,other,mechanics,front-wheel drive,M,3550
mazda,xedos-6,1996,with mileage,300000.0,petrol,1600.0,red,mechanics,front-wheel drive,,1000
volkswagen,caravelle,2009,with mileage,380000.0,diesel,2000.0,silver,mechanics,front-wheel drive,M,14950
opel,zafira,2002,with mileage,300000.0,diesel,2000.0,silver,mechanics,front-wheel drive,M,4550
nissan,x-trail,2018,with mileage,11500.0,petrol,2000.0,black,auto,front-wheel drive,J,23000
toyota,avensis,2001,with mileage,390000.0,diesel,2000.0,silver,mechanics,front-wheel drive,D,3000
peugeot,605,1996,with mileage,1111.0,petrol,2000.0,blue,mechanics,front-wheel drive,E,1400
audi,a8,2004,with mileage,240000.0,petrol,4200.0,black,auto,all-wheel drive,F,8000
lada-vaz,vesta,2018,with mileage,47300.0,petrol,1800.0,brown,mechanics,front-wheel drive,B,11100
toyota,corolla,2012,with mileage,58000.0,petrol,1600.0,black,auto,front-wheel drive,C,12500
